cedulaRemitente,cedulaDestinatario,peso,tipoContenido,numGuia,codigoOficina,nombreOficina,direccionOficina,ciudadOficina,codigoRegion,nombreRegion
37898563423,345667335678,2000,prenda de vestir,RTY657,HGF34567,Oficina Chapinero,Carrera 7- #46-34,Bogotá,BOG4441,Chapinero
345667335678,37898563423,5000,calefactor electrico,OPQ456,HGF34567,Oficina Teusaquillo,Carrera 30 #12-10,Bogotá,BOG4441,Teusaquillo
30367825533,54110617861,6536,Prenda de vestir,JYF387,CHA98765,Oficina Puente aranda,Cra 40 #29b-12,Bogotá,MAR3445,El Rosario
21571725585,68686165189,8959,Nevera,JGY476,CHA98765,Oficina Fontibon,Cra 56 #23-12,Bogotá,MAR3445,El guadual
88288425383,42752076851,880,Consola PS4,NHG334,JIOJO221,Oficina Chapinero,Cra 122 #12-12,Bogotá,NJN999,El nogal
10741534,7531294426,2860,Computador HP,MMJ768,HU21231U,Oficina Fontibon,Cra 72 #87-12,Bogotá,NHF456,La Giralda
8698943991,2144908119,1348,Libros,BYY900,JOIOI2313,Oficina Teusaquillo,Cra 12 #12-134,Bogotá,MJG457,La soledad
1698980043,6034855761,7501,Cinturones,NHT123,HY21H231,Oficina Engativa,Cra 87 #34-12,Bogotá,VQQ322,San marcos
30367825533,54110617861,10897,TV,RHO501,TD66DS76,Oficina Puente aranda,Cra 40 #29b-12,Bogotá,BIO867,El Rosario
88288425383,54110617861,880,Consola PS4,NUY720,JIOJO221,Oficina Chapinero,Cra 122 #12-12,Bogotá,NJN999,El nogal
8698943991,30367825533,1348,Libros,BYY906,JOIOI2313,Oficina Teusaquillo,Cra 12 #12-134,Bogotá,MJG457,La soledad
37898563423,6034855761,7501,Cinturones,NHT345,HY21H231,Oficina Engativa,Cra 87 #34-12,Bogotá,VQQ322,San marcos
